Unnamed: 0,listing_url,last_scraped,description,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,room_type_encoded
115,https://www.airbnb.com/rooms/617137,2024-09-26,No contiene descripción,https://www.airbnb.com/users/show/3059169,2012-07-26,within an hour,No contiene host_response_rate,No contiene host_acceptance_rate,f,"['email', 'phone']",f,No Hay,Cuauhtémoc,Shared room in rental unit,Shared room,"[""Washer"", ""Wifi"", ""TV with standard cable"", ""Breakfast"", ""Kitchen""]",f,2024-09-26,2012-10-12,2024-03-01,No cuenta con licencia,f,617137,3059169,1.0,1.0,2.0,1.0,1.0,1.97,0.0,1.0,1125,0,0,65.1,0,0.0,0.0,0.0,4.79,4.76,4.84,4.83,4.85,1.0,0.0,0.0,0.0,1.74,4
258,https://www.airbnb.com/rooms/3197924,2024-09-26,"double bed , full bathroom, room with own terrace, PH new in colonia condesa, views of Trees in front of the Roof top, very ventilated, trees, new and complete kitchen, Roof Top private , parking place, Total Play spacious package included, wifi, dressing room, among the 3 best PH in condesa, 5 min walk to Parque México, super central in the heart of the countess, ecobici in front, all necessary services walking",https://www.airbnb.com/users/show/16186468,2014-05-30,a few days or more,0%,0%,f,"['email', 'phone']",t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,Shared room in loft,Shared room,"[""Free parking on premises"", ""Washer"", ""TV"", ""Wifi"", ""Fire pit"", ""City skyline view"", ""Kitchen"", ""Outdoor dining area"", ""Dedicated workspace""]",t,2024-09-26,2022-09-30,2024-06-23,No cuenta con licencia,t,3197924,16186468,3.0,8.0,1.0,1.5,2.0,2.0,640.0,2.0,365,30,60,90.0,364,0.0,0.0,0.0,4.79,4.76,4.84,4.83,4.85,3.0,1.0,1.0,0.0,1.74,4
366,https://www.airbnb.com/rooms/5434219,2024-09-26,Single Room $30<br />Double room $60<br />Dormitory $15<br /><br />Public Transportation<br />30 minutes by taxi from the airport USD15.00 (MXN215.00)<br />As of February 2015<br /><br />Subway <br />Review 3min walk... see more<br /><br />メトロバス<br />PLAZA DE LA REPUBLICA 徒歩8分<br />BUENAVISTA 15,https://www.airbnb.com/users/show/28190065,2015-02-22,within a few hours,100%,85%,t,"['email', 'phone']",t,No Hay,Cuauhtémoc,Shared room in guesthouse,Shared room,"[""Iron"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""TV"", ""Patio or balcony"", ""Kitchen"", ""BBQ grill"", ""Smoke alarm"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",t,2024-09-26,2015-05-23,2024-09-17,No cuenta con licencia,f,5434219,28190065,2.0,2.0,2.94,1.32,1.0,1.63,290.0,2.0,1125,28,55,85.0,360,34.0,6.0,2.0,4.74,4.86,4.92,4.92,4.92,2.0,0.0,1.0,0.0,0.3,4
444,https://www.airbnb.com/rooms/6972071,2024-09-25,"Welcome to the best college-style dorms in a Boutique concept!<br /><br />We have available 100 beds in 15 dormitories, parquet floors, high ceilings, large windows with balcony colonial style. We have designed every dorm in a special, spacious and bright way.<br /><br />We are a unique hostel that boasts a fantastically social and cozy atmosphere, fully redesigned lobby area, a friendly staff, and a fabulous location. We have a kitchen, Wifi, and luggage storage, which means staying with us is a great value.",https://www.airbnb.com/users/show/35406862,2015-06-09,within a few hours,100%,31%,f,"['email', 'phone']",t,No Hay,Cuauhtémoc,Shared room in hostel,Shared room,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""TV with standard cable"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Smoking allowed"", ""Smoke alarm""]",t,2024-09-25,2015-09-10,2024-06-15,No cuenta con licencia,f,6972071,35406862,6.16,7.32,2.94,1.32,1.0,1.63,932.7,1.0,1125,30,60,90.0,365,0.0,0.0,0.0,4.79,4.76,4.84,4.83,4.85,19.0,2.0,0.74,0.0,1.74,4
456,https://www.airbnb.com/rooms/6076798,2024-09-25,"It has all the comforts to rest if you come for work or travel, has a terrace with hammocks which makes it special. It is located near the historic center, airport and terminals. You can get to know a traditional and cheap neighborhood.",https://www.airbnb.com/users/show/31426842,2015-04-17,within a few hours,100%,94%,t,"['email', 'phone', 'work_email']",t,"Mexico City, Distrito Federal, Mexico",Venustiano Carranza,Shared room in home,Shared room,"[""Carbon monoxide alarm"", ""Washer"", ""Wifi"", ""Backyard"", ""TV with standard cable"", ""Patio or balcony"", ""Smoking allowed"", ""Kitchen"", ""First aid kit"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Microwave""]",t,2024-09-25,2015-05-22,2024-02-26,No cuenta con licencia,t,6076798,31426842,2.0,2.0,2.94,3.0,1.0,1.63,550.0,1.0,1125,0,0,65.1,267,85.0,9.0,0.0,4.84,4.93,4.94,4.91,4.92,1.0,0.0,0.0,0.0,0.75,4
480,https://www.airbnb.com/rooms/6312611,2024-09-25,"Stay in our downtown brick apartment. It has a genuinely urban touch. At the moment I am not offering you a private room but it is ideal for you to sleep, bathe and make your belongings safe. Come on weekends and I give you an unforgettable tour! WELCOME.",https://www.airbnb.com/users/show/32080835,2015-04-27,within an hour,No contiene host_response_rate,No contiene host_acceptance_rate,f,"['email', 'phone']",t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,Shared room in rental unit,Shared room,"[""Wifi"", ""TV with standard cable"", ""Kitchen"", ""Essentials"", ""Shampoo""]",t,2024-09-25,2015-06-01,2023-10-27,No cuenta con licencia,f,6312611,32080835,1.0,1.0,1.0,1.0,1.0,1.0,200.0,1.0,1125,28,58,88.0,363,0.0,0.0,0.0,4.79,4.76,4.84,4.83,4.85,1.0,0.0,0.0,0.0,1.74,4
537,https://www.airbnb.com/rooms/7933584,2024-09-26,"Unique concept in Mexico, inspired by the capsule hotels of Japan without losing the essence of a European hostel.We look for a way to have guests in shared rooms without losing their (URL HIDDEN) most of the rooms have climate",https://www.airbnb.com/users/show/41832187,2015-08-18,within an hour,100%,97%,f,['phone'],t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,Shared room in hostel,Shared room,"[""Iron"", ""Carbon monoxide alarm"", ""Wifi"", ""Laundromat nearby"", ""Fire extinguisher"", ""Self check-in"", ""Essentials"", ""Shampoo"", ""Exterior security cameras on property"", ""Smoke alarm"", ""Building staff""]",t,2024-09-26,2016-11-02,2024-09-07,No cuenta con licencia,f,7933584,41832187,1.0,2.0,2.94,1.32,1.0,1.63,300.0,1.0,1125,25,55,85.0,360,27.03,10.86,4.0,4.88,4.86,4.8,4.92,4.89,1.0,0.0,0.0,0.0,1.76,4
931,https://www.airbnb.com/rooms/11964525,2024-09-25,"It is a room in the heart of South Rome, because of the location of the apartment you always see the best sunsets.<br />All amenities are available: Wifi +TV+Refrigerator one bed ( and an extra mattress) is steps from the metro and metrobus",https://www.airbnb.com/users/show/63900765,2016-03-21,within an hour,No contiene host_response_rate,No contiene host_acceptance_rate,f,"['email', 'phone']",t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,Shared room in rental unit,Shared room,"[""Iron"", ""Wifi"", ""TV with standard cable"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Pets allowed"", ""Smoking allowed""]",t,2024-09-25,2018-12-31,2024-04-07,No cuenta con licencia,f,11964525,63900765,1.0,1.0,2.0,1.0,1.0,2.0,932.7,1.58,34,30,60,90.0,365,0.0,0.0,0.0,4.79,4.76,4.84,4.83,4.85,1.0,0.0,0.0,0.0,1.74,4
1063,https://www.airbnb.com/rooms/13221271,2024-09-25,"Welcome, to the best value for groups of up to 28 guests. Unbeatable Location, near all points of interest: museums, historic monuments, shopping.<br /><br />Where love for art, culture, and hosting merge!",https://www.airbnb.com/users/show/35406862,2015-06-09,within a few hours,100%,31%,f,"['email', 'phone']",t,"Ejido del Centro, Ciudad de México, Mexico",Cuauhtémoc,Shared room in hostel,Shared room,"[""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Fire extinguisher"", ""Kitchen"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Smoking allowed"", ""Smoke alarm"", ""Hangers""]",t,2024-09-25,2016-08-01,2017-04-28,No cuenta con licencia,f,13221271,35406862,6.16,7.32,2.94,1.0,1.0,1.63,932.7,1.0,1125,28,58,88.0,363,0.0,0.0,0.0,4.79,4.76,4.84,4.83,4.85,19.0,2.0,0.74,0.0,1.74,4
1095,https://www.airbnb.com/rooms/13293812,2024-09-25,"Comfortable rooms (2) for students, two beds, half bathroom, study area, services included. Close to UNAM FES ZARAGOZA.<br /><br />On the ground floor there is an inexpensive kitchen. It offers delicious dishes at an affordable price.",https://www.airbnb.com/users/show/73842404,2016-05-24,a few days or more,10%,25%,f,"['email', 'phone']",t,No Hay,Iztapalapa,Shared room in home,Shared room,"[""Wifi"", ""Essentials""]",t,2024-09-25,2016-07-28,2019-08-03,No cuenta con licencia,t,13293812,73842404,1.0,2.0,2.0,1.0,1.0,1.0,222.0,1.0,1125,30,60,89.0,89,2.0,0.0,0.0,4.88,4.86,4.92,4.92,5.0,1.0,0.0,0.0,0.0,0.02,4
