Unnamed: 0,listing_url,last_scraped,description,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,room_type_encoded
48,https://www.airbnb.com/rooms/281134,2024-09-26,Amazing Pent House apartment in the heart fo Condesa,https://www.airbnb.com/users/show/196253,2010-08-09,within an hour,100%,93%,t,"['email', 'phone', 'work_email']",t,No Hay,Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Refrigerator"", ""Dishes and silverware"", ""Dishwasher"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Oven"", ""Smoke alarm"", ""Stove"", ""Free street parking"", ""Exterior security cameras on property"", ""Cooking basics"", ""Hair dryer"", ""Microwave""]",t,2024-09-26,2015-01-05,2019-10-05,No cuenta con licencia,t,281134,196253,12.0,13.0,3.0,1.0,1.0,1.97,0.0,1.0,365,14,33,43.0,312,7.0,0.0,0.0,4.71,5.0,5.0,5.0,5.0,8.0,4.0,1.0,0.0,0.06,3
62,https://www.airbnb.com/rooms/1565220,2024-09-26,"Beautiful, spacious and calm independent Suite on ground floor, fully decorated with Mexican hands&crafts, with a comfortable kingsize bed, 800 threads sheets.  Small dinning room.  Bathroom with bathtub. Kitchennette.  <br />Free WiFi, complimentary full breakfast and daily cleaning.<br />Located inside our Artist´s Residence, our guests can enjoy our common spaces: dinning room, living rooms, roof deck with BBQ and fire pit (available upon request for you and your friends).",https://www.airbnb.com/users/show/2518152,2012-06-01,within an hour,100%,92%,t,"['email', 'phone', 'work_email']",t,"Mexico City, DF, Mexico",Álvaro Obregón,Room in boutique hotel,Hotel room,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""High chair"", ""Paid washer \u2013 In building"", ""HDTV with standard cable, Amazon Prime Video, Apple TV, Netflix"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Kitchen"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fast wifi \u2013 85 Mbps"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2024-09-26,2013-11-12,2024-01-02,No cuenta con licencia,f,1565220,2518152,8.0,9.0,2.0,1.0,1.0,1.97,0.0,1.0,1125,1,31,61.0,336,28.0,1.0,0.0,5.0,5.0,5.0,4.96,4.93,7.0,1.0,4.0,0.0,0.21,3
75,https://www.airbnb.com/rooms/1736063,2024-09-26,"Small, very practical and beautiful independent studio on first floor, with a comfortable queensize bed, 800 threads sheets. Private Bathroom. Kitchennette.<br />Free WiFi, optional full breakfast and daily cleaning.<br />Located inside our Artist´s Residence, our guests can enjoy our common spaces: dinning room, living rooms, roof deck with BBQ and fire pit (available upon request for you and your friends).",https://www.airbnb.com/users/show/2518152,2012-06-01,within an hour,100%,92%,t,"['email', 'phone', 'work_email']",t,"Mexico City, Federal District, Mexico",Álvaro Obregón,Room in boutique hotel,Hotel room,"[""Shared patio or balcony"", ""Iron"", ""Outdoor furniture"", ""Wifi"", ""Paid washer \u2013 In building"", ""Heating"", ""Fire pit"", ""Children\u2019s books and toys"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Resort access"", ""Outdoor kitchen"", ""Hangers"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""Pocket wifi"", ""Kitchen"", ""Shared backyard \u2013 Fully fenced"", ""BBQ grill"", ""Outdoor dining area"", ""Paid parking off premises"", ""Smoke alarm"", ""Fire extinguisher"", ""Pack \u2019n play/Travel crib"", ""Indoor fireplace: gas"", ""Paid dryer \u2013 In building"", ""Free street parking"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2024-09-26,2014-03-04,2024-07-28,No cuenta con licencia,f,1736063,2518152,8.0,9.0,2.0,1.0,1.0,1.97,0.0,1.0,1125,17,47,77.0,352,58.0,8.0,0.0,4.84,4.97,4.89,4.93,4.96,7.0,1.0,4.0,0.0,0.45,3
100,https://www.airbnb.com/rooms/571166,2024-09-26,"This is a one bedroom furnished apartment in the heart of the Condesa Neighborhood.<br /><br />All you need is to relax, and let us take care of you. The apartment has Wi fi Internet, Flat Cable TV , a fully equipped Kitchen w/utensils, living, a 4 seat dinning table and a small balcony . There is also a washer and dryer available. IF there are 3 guests we can add a twin bed in the living area, <br /><br />Services included. Wi fi internet, Cable TV and daily  house keeping 3 times a week for long stays .",https://www.airbnb.com/users/show/196253,2010-08-09,within an hour,100%,93%,t,"['email', 'phone', 'work_email']",t,No Hay,Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Dryer"", ""Iron"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi"", ""Free parking on premises"", ""TV with standard cable"", ""Exterior security cameras on property"", ""Hangers"", ""Fire extinguisher"", ""Host greets you"", ""Kitchen"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Cooking basics"", ""Smoke alarm"", ""Hair dryer""]",t,2024-09-26,2019-02-08,2019-02-08,No cuenta con licencia,t,571166,196253,12.0,13.0,3.0,1.0,1.0,1.0,1872.0,1.0,365,0,0,65.1,253,1.0,0.0,0.0,5.0,5.0,5.0,4.92,5.0,8.0,4.0,1.0,0.0,0.01,3
135,https://www.airbnb.com/rooms/737328,2024-09-26,No contiene descripción,https://www.airbnb.com/users/show/3850198,2012-10-12,within an hour,100%,89%,t,"['email', 'phone']",t,"Mexico City, Federal District, Mexico",Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer""]",t,2024-09-26,2013-01-05,2024-02-11,No cuenta con licencia,t,737328,3850198,19.0,21.0,2.0,1.0,1.0,1.0,1275.0,2.0,730,23,42,72.0,347,25.0,1.0,0.0,4.88,4.84,5.0,5.0,4.84,11.0,7.0,0.0,0.0,0.18,3
158,https://www.airbnb.com/rooms/865012,2024-09-26,No contiene descripción,https://www.airbnb.com/users/show/3850198,2012-10-12,within an hour,100%,89%,t,"['email', 'phone']",t,No Hay,Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Host greets you"", ""Paid parking on premises"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Hair dryer"", ""Fire extinguisher"", ""Cooking basics"", ""Paid parking off premises""]",t,2024-09-26,2013-03-02,2022-01-01,No cuenta con licencia,t,865012,3850198,19.0,21.0,2.0,1.0,1.0,1.0,1275.0,2.0,730,24,44,74.0,345,31.0,0.0,0.0,4.97,4.94,5.0,5.0,4.97,11.0,7.0,0.0,0.0,0.22,3
159,https://www.airbnb.com/rooms/868843,2024-09-26,No contiene descripción,https://www.airbnb.com/users/show/3850198,2012-10-12,within an hour,100%,89%,t,"['email', 'phone']",t,No Hay,Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Smoking allowed"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Cooking basics"", ""Hair dryer"", ""Building staff""]",t,2024-09-26,2014-08-03,2024-02-18,No cuenta con licencia,t,868843,3850198,19.0,21.0,2.0,1.0,1.0,1.0,1159.0,2.0,730,25,40,70.0,345,55.0,2.0,0.0,4.98,4.87,5.0,4.98,4.98,11.0,7.0,0.0,0.0,0.44,3
170,https://www.airbnb.com/rooms/869063,2024-09-26,"Beautiful business suite facing our indoor patio. Fully equipped kitchen with refrigerator, cooker, microwave oven, blender, toaster, coffee machine and working bar. Living área, one queen size bed for one or two, balcony, large bathroom with shower.",https://www.airbnb.com/users/show/3850198,2012-10-12,within an hour,100%,89%,t,"['email', 'phone']",t,"Mexico City, Federal District, Mexico",Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""Smoke alarm"", ""Cooking basics"", ""Fire extinguisher"", ""Smoking allowed"", ""Hair dryer"", ""Building staff""]",t,2024-09-26,2016-01-05,2024-04-21,No cuenta con licencia,t,869063,3850198,19.0,21.0,2.0,1.0,1.0,1.0,1353.0,2.0,730,11,32,62.0,337,38.0,8.0,0.0,5.0,4.97,5.0,5.0,4.97,11.0,7.0,0.0,0.0,0.36,3
214,https://www.airbnb.com/rooms/2908932,2024-09-26,"Incredible apt, totally renovated: WIFI ,2 bedrooms, 1 bath, equipated kitchen, refrigerator, mocrowave, cleaning service once a week. Located in the incredible Colonia Juarez, an area with a lot of rentaurants, coffes and bars, only at 4 blocks of Reforma avenue,<br />2 of Colonia Roma, 2 of metro,  30 minutes walking ofCentro Histórico (downtown). One of the best and coolest areas to stay in the city.",https://www.airbnb.com/users/show/2281290,2012-05-03,within an hour,100%,98%,f,"['email', 'phone']",t,"Juárez, Ciudad de México, Mexico",Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Iron"", ""TV"", ""Wifi"", ""Elevator"", ""Heating"", ""Kitchen"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Paid parking off premises"", ""Cooking basics"", ""Single level home"", ""Hangers"", ""Microwave""]",t,2024-09-26,2019-03-01,2020-08-30,No cuenta con licencia,f,2908932,2281290,6.16,7.32,4.0,1.0,1.0,3.0,1159.0,2.0,1125,0,0,65.1,266,4.0,0.0,0.0,5.0,5.0,4.92,5.0,5.0,4.87,2.47,4.0,0.0,0.06,3
403,https://www.airbnb.com/rooms/6810808,2024-09-26,"Welcome to Mexico City! ✈  <br /><br />☆ It combines fully equipped Suites with a workspace, so you can work on success 24/7: Workspace for escaping the grind! ☆<br /><br />Special offer for groups:<br />☆ Weekly stay: 7th night free.<br />☆ Monthly stay: 4th week for free.<br /><br />Ultra-luxury Suites with one of the best facilities in Airbnb Mexico City: Fully equipped living and dining rooms with executive kitchen, all supplies included.",https://www.airbnb.com/users/show/35406862,2015-06-09,within a few hours,100%,31%,f,"['email', 'phone']",t,"Mexico City, Distrito Federal, Mexico",Cuauhtémoc,Room in bed and breakfast,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Resort access"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""First aid kit"", ""Shared hot tub"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Kitchen"", ""EV charger"", ""Smoke alarm"", ""Shared pool"", ""Fire extinguisher"", ""Gym"", ""Hair dryer"", ""Building staff""]",t,2024-09-26,2015-10-17,2021-11-08,No cuenta con licencia,t,6810808,35406862,6.16,7.32,2.94,1.32,1.43,1.63,932.7,1.0,1125,30,60,90.0,365,6.0,0.0,0.0,4.88,4.86,5.0,4.92,4.92,19.0,2.0,0.74,0.0,0.06,3
718,https://www.airbnb.com/rooms/9171973,2024-09-25,One fully furnished bedroom apartment. Close to Santa fe and Interlomas. <br />Quiet and safe  neighborhood. Rinning track and a park next to the apaprtment.,https://www.airbnb.com/users/show/15219834,2014-05-07,within an hour,99%,96%,f,"['email', 'phone', 'work_email']",t,"Mexico City, Distrito Federal, Mexico",Miguel Hidalgo,Room in serviced apartment,Hotel room,"[""Iron"", ""Washer"", ""Wifi"", ""Heating"", ""Refrigerator"", ""Dishes and silverware"", ""Self check-in"", ""Pets allowed"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Backyard"", ""Crib"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Patio or balcony"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Dedicated workspace"", ""Cooking basics"", ""Building staff""]",t,2024-09-25,2016-04-09,2023-09-24,No cuenta con licencia,t,9171973,15219834,26.0,30.0,2.0,1.0,1.0,1.0,1219.0,2.0,1125,18,47,77.0,205,41.0,0.0,0.0,4.88,4.93,4.83,4.78,4.95,24.0,2.47,0.0,0.0,0.4,3
940,https://www.airbnb.com/rooms/12008058,2024-09-25,"Dominion Polanco located in the Polanco hotel zone, has 24 exclusive two-bedroom apartments with a living-dining room and fully equipped kitchen. Washer and dryer, 2 bathrooms, living room, dining room, linens, towels, toiletries and amenities included. A contemporary atmosphere, where space, elegance and quality of service are combined.",https://www.airbnb.com/users/show/64224416,2016-03-23,within an hour,100%,98%,t,"['email', 'phone', 'work_email']",t,"Mexico City, Distrito Federal, Mexico",Miguel Hidalgo,Room in serviced apartment,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Heating"", ""Bathtub"", ""Self check-in"", ""Pets allowed"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""Breakfast"", ""Crib"", ""Long term stays allowed"", ""Essentials"", ""Shampoo"", ""Hot water"", ""Dryer"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",t,2024-09-25,2016-10-31,2024-06-29,No cuenta con licencia,t,12008058,64224416,2.0,2.0,4.0,2.0,2.0,3.0,932.7,1.0,1125,23,48,75.0,350,64.0,15.0,0.0,4.89,4.88,4.95,4.86,4.97,2.0,1.0,0.0,0.0,0.67,3
952,https://www.airbnb.com/rooms/11491144,2024-09-26,"Welcome to Mexico City! <br />☆ Our 2 Towers have 120 units with fully equipped Suites with a workspace, so you can work on success 24/7: <br />Special offer for groups:<br />☆ Weekly stay: 7th night free.<br />☆ Monthly stay: 4th week for free.<br /><br />()<br />",https://www.airbnb.com/users/show/35406862,2015-06-09,within a few hours,100%,31%,f,"['email', 'phone']",t,"Colonia Juárez, Distrito Federal, Mexico",Cuauhtémoc,Room in bed and breakfast,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Hot water"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Air conditioning"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",t,2024-09-26,2016-03-12,2024-04-20,No cuenta con licencia,t,11491144,35406862,6.16,7.32,2.94,1.32,1.43,1.63,932.7,1.0,1125,30,60,90.0,365,0.0,0.0,0.0,4.79,4.76,4.84,4.83,4.85,19.0,2.0,0.74,0.0,1.74,3
954,https://www.airbnb.com/rooms/11507601,2024-09-26,We are 3 all-suites Towers with one of the best facilities in Airbnb Mexico City.<br />What makes your experience unique here:<br /><br />* Prime location steps from the St. Regis & Diana Fountain.<br />* 90 Master Suites with Queen size beds & folded bed for an extra guest.<br />* Living and dining room.<br />* Kitchen.<br />* Luxury bathroom.<br />*HDTV.<br />* Daily housekeeping & towels (Except Sundays).<br />* Concierge 24/7<br />* Wifi <br />* Roof Garden with sky-view,https://www.airbnb.com/users/show/35406862,2015-06-09,within a few hours,100%,31%,f,"['email', 'phone']",t,"Colonia Juárez, Distrito Federal, Mexico",Cuauhtémoc,Room in serviced apartment,Hotel room,"[""Pool"", ""Iron"", ""Washer"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises"", ""Carbon monoxide alarm"", ""First aid kit"", ""Essentials"", ""Shampoo"", ""Dryer"", ""TV with standard cable"", ""Hot tub"", ""Kitchen"", ""Smoke alarm"", ""Fire extinguisher"", ""Gym"", ""Elevator"", ""Hair dryer"", ""Building staff""]",t,2024-09-26,2018-02-08,2018-05-27,No cuenta con licencia,f,11507601,35406862,6.16,7.32,2.94,1.32,1.43,1.63,932.7,1.0,1125,30,60,90.0,365,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,19.0,2.0,0.74,0.0,0.02,3
