Unnamed: 0,listing_url,last_scraped,description,host_url,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_verifications,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,amenities,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,room_type_encoded
0,https://www.airbnb.com/rooms/35644,2024-09-05,"This renovated 1885 house has fantastic views & is an easy walk to city centre, or a stroll to the North Hobart cafe/restaurant strip.  <br /><br />It is a vegetarian household, so if you're a carnivore you'll need to engage your inner vego while at home :-)",https://www.airbnb.com/users/show/153268,2010-06-27,within an hour,100%,98%,t,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Hobart,Private room in home,Private room,"[""Dishes and silverware"", ""TV"", ""Hangers"", ""Hair dryer"", ""Microwave"", ""Indoor fireplace"", ""Heating"", ""Shampoo"", ""Wifi"", ""Air conditioning"", ""Single level home"", ""Free street parking"", ""Cooking basics"", ""Coffee maker"", ""Dryer"", ""Oven"", ""Lockbox"", ""Washer"", ""Backyard"", ""Kitchen"", ""Patio or balcony"", ""Stove"", ""Self check-in"", ""Smoke alarm"", ""Dishwasher"", ""Refrigerator"", ""Essentials"", ""Iron"", ""Hot water""]",t,2024-09-05,2012-12-04,2020-03-08,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993,f,35644,153268.0,3.0,3.0,2.0,1.0,1.0,3.0,200.0,1.0,7.0,0,38.81,61.53,217.37,255.0,0.0,0.0,4.87,4.82,4.96,4.96,4.81,3.0,2.0,0.0,0.0,1.78,2
5,https://www.airbnb.com/rooms/268482,2024-09-05,"Including cooked breakfast, private ensuite, free wi-fi & off-street parking.  <br />The Anderson Suite - One of five queen suites at The Ark Stanley B&B, with remote control heating/cooling, tv, cd/dvd, fridge, welcome supplies, toaster, kettle, coffee machine.  French-inspired decor, privacy blinds, Sheridan sheets, towels and bathrobes.  Ensuite has large shower with luxurious satinjet showerhead, heated floor including heated pebble floor in shower area, heated towel rail and quality amenities.",https://www.airbnb.com/users/show/1406692,2011-11-14,within an hour,100%,100%,f,"['email', 'phone']",t,Neighborhood highlights,Circular Head,Private room in bed and breakfast,Private room,"[""Sukin body soap"", ""Dishes and silverware"", ""Coffee maker: Nespresso"", ""Hangers"", ""Hair dryer"", ""First aid kit"", ""Coffee"", ""Harbor view"", ""AC - split type ductless system"", ""Ocean view"", ""Free parking on premises"", ""Wifi"", ""Outdoor furniture"", ""Sukin shampoo"", ""EV charger"", ""Beach view"", ""Extra pillows and blankets"", ""Barbecue utensils"", ""Single level home"", ""Waterfront"", ""Free street parking"", ""Books and reading material"", ""Toaster"", ""Heating - split type ductless system"", ""Fire extinguisher"", ""Marina view"", ""BBQ grill: gas"", ""Clothing storage: wardrobe"", ""Shower gel"", ""Long term stays allowed"", ""Paid washer \u2013 In building"", ""Breakfast"", ""Mini fridge"", ""Shared patio or balcony"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Iron"", ""Bay view"", ""Hot water kettle"", ""Cleaning available during stay"", ""60 inch HDTV with Amazon Prime Video, DVD player"", ""Bed linens"", ""Smoke alarm"", ""Room-darkening shades"", ""Wine glasses"", ""Shared beach access"", ""Essentials"", ""Sukin conditioner"", ""Sea view"", ""Hot water"", ""Lock on bedroom door""]",t,2024-09-05,2018-10-09,2022-02-05,No cuenta con licencia,t,268482,1406692.0,7.0,7.0,2.0,1.0,1.0,2.0,298.0,1.0,365.0,22,40.0,60.0,210.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,7.0,0.0,0.0,0.0,0.06,2
7,https://www.airbnb.com/rooms/292399,2024-09-05,"I am 20 mins from the stunning experience of Mt Field National Park.<br /><br />I offer within the package a glass of red, or a hot chocolate, in front of the open fire. Together we can create an experience. <br /><br />You can choose from a queen bed room, a twin bed room, more spaces open up in the summer! Enjoy a patio that is surrounded by nature, an Art Gallery with Healing Works, a deck in the front garden park perfect for dance, yoga, star gazing, or meditation. there is a harpist on call.",https://www.airbnb.com/users/show/1513972,2011-12-17,within an hour,100%,78%,f,"['email', 'phone']",t,Neighborhood highlights,Central Highlands,Private room in farm stay,Private room,"[""Dishes and silverware"", ""TV"", ""Microwave"", ""Indoor fireplace"", ""Heating"", ""Free parking on premises"", ""Garden view"", ""Air conditioning"", ""Cooking basics"", ""Host greets you"", ""Washer"", ""Backyard"", ""Breakfast"", ""Mountain view"", ""Shared patio or balcony"", ""Kitchen"", ""Stove"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Hot water""]",t,2024-09-05,2012-12-24,2024-06-15,No cuenta con licencia,f,292399,1513972.0,1.0,1.0,4.0,1.0,2.0,3.0,130.0,1.0,14.0,29,58.0,88.0,358.0,222.0,18.0,0.0,4.93,4.91,4.97,4.96,4.92,1.0,0.0,0.0,0.0,1.56,2
8,https://www.airbnb.com/rooms/292447,2024-09-05,"A compact studio in the back garden. A heavily renovated old 1930s garden shed actually, about 4x2m in size with a deck of similar size in front facing the north (sun).<br /><br />Contains an undersized bed measuring  107cm x 203cm (a standard double is 135cm x 188cm) so is for cosy couple or singles. It's been this size for decade of bookings and everyone who knew what to expect has been happy. <br /><br />NOTE: This studio is sadly NOT suitable for COVID quarantining needs. It is not entirely self contained.",https://www.airbnb.com/users/show/1514295,2011-12-18,within an hour,100%,94%,f,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Hobart,Private room in guesthouse,Private room,"[""Dishes and silverware"", ""Body soap"", ""Bathtub"", ""Hangers"", ""Children\u2019s books and toys"", ""Hair dryer"", ""First aid kit"", ""Outdoor playground"", ""Microwave"", ""Heating"", ""Cleaning products"", ""Wifi"", ""City skyline view"", ""Private entrance"", ""Baby bath"", ""Free street parking"", ""Fire extinguisher"", ""Cooking basics"", ""Dryer"", ""River view"", ""Lockbox"", ""Long term stays allowed"", ""Washer"", ""Backyard"", ""Mini fridge"", ""Mountain view"", ""Luggage dropoff allowed"", ""Kitchen"", ""Patio or balcony"", ""Children\u2019s dinnerware"", ""Self check-in"", ""Baby monitor"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Iron""]",t,2024-09-05,2012-12-29,2024-08-17,Exempt: This listing falls under the 'home sharing' exemption,f,292447,1514295.0,1.0,2.0,2.0,1.22,1.0,1.0,210.09,2.0,31.0,27,49.0,76.0,343.0,146.0,8.0,1.0,4.93,4.91,4.97,4.96,4.92,1.0,0.0,0.0,0.0,1.03,2
10,https://www.airbnb.com/rooms/401176,2024-09-05,Este airbnb no cuenta con una descripcion detallada,https://www.airbnb.com/users/show/2002482,2012-03-25,No hay tiempo de respuesta,No hay porcentaje de respuesta,75%,f,"['email', 'phone']",t,Neighborhood highlights,Hobart,Private room in home,Private room,"[""Dishes and silverware"", ""TV"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Hangers"", ""Children\u2019s books and toys"", ""Board games"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Free parking on premises"", ""Shampoo"", ""Wifi"", ""Outdoor furniture"", ""Air conditioning"", ""Extra pillows and blankets"", ""Free street parking"", ""Books and reading material"", ""Fire extinguisher"", ""Coffee maker"", ""Laundromat nearby"", ""Host greets you"", ""Shower gel"", ""Washer"", ""Private patio or balcony"", ""Backyard"", ""Conditioner"", ""Breakfast"", ""Mountain view"", ""Luggage dropoff allowed"", ""Hot water kettle"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Iron"", ""Hot water""]",t,2024-09-05,2012-10-12,2024-04-07,Exempt: This listing falls under the 'home sharing' exemption,f,401176,2002482.0,1.0,1.0,1.0,1.0,1.0,1.0,130.0,2.0,5.0,30,60.0,90.0,365.0,97.0,4.0,0.0,4.81,4.98,4.95,4.95,4.92,1.0,0.0,0.0,0.0,0.67,2
11,https://www.airbnb.com/rooms/434150,2024-09-05,"You will enjoy your own double room and bathroom.  This can be fully separate, or you can come out and share the rest of my beautifully renovated 1950s cottage with me.  Built as part of the original Dutch settlement, it's full of character, is homey, relaxed and welcoming.  Whilst we are only ten minutes from Hobart, and in 'suburbia', you will feel like you are living in the countryside with the deep river valley nearby, the trees in every direction, mountain and water glimpses.",https://www.airbnb.com/users/show/1777929,2012-02-20,No hay tiempo de respuesta,No hay porcentaje de respuesta,No hay porcentaje de aceptacion,f,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Kingborough,Private room in home,Private room,"[""Dishes and silverware"", ""Body soap"", ""Bathtub"", ""Fire pit"", ""Outdoor dining area"", ""Smoking allowed"", ""Clothing storage: closet"", ""Drying rack for clothing"", ""Hangers"", ""Hair dryer"", ""Coffee maker: pour-over coffee"", ""Coffee"", ""Heating"", ""Free parking on premises"", ""Cleaning products"", ""Shampoo"", ""Sea view"", ""Wifi"", ""Garden view"", ""Air conditioning"", ""Private backyard \u2013 Fully fenced"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Single level home"", ""Free street parking"", ""33 inch TV with Chromecast"", ""Books and reading material"", ""Toaster"", ""Cooking basics"", ""Laundromat nearby"", ""Free washer \u2013 In unit"", ""Oven"", ""BBQ grill: gas"", ""Lockbox"", ""Blender"", ""Shower gel"", ""Dining table"", ""Private patio or balcony"", ""Conditioner"", ""Freezer"", ""Mountain view"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Kitchen"", ""Hot water kettle"", ""Bed linens"", ""Self check-in"", ""Smoke alarm"", ""Lock on bedroom door"", ""Dishwasher"", ""Refrigerator"", ""Essentials"", ""Wine glasses"", ""Shared beach access"", ""Iron"", ""Hot water""]",t,2024-09-05,2012-06-02,2023-06-19,Exempt: This listing falls under the 'home sharing' exemption,f,434150,1777929.0,1.0,5.0,2.0,1.0,1.0,3.0,200.0,1.0,30.0,0,38.81,61.53,217.37,20.0,0.0,0.0,4.9,4.8,5.0,4.95,4.85,1.0,0.0,0.0,0.0,0.13,2
24,https://www.airbnb.com/rooms/773175,2024-09-05,"The house is situated between 2 beaches and walking distance to local shops including cafes, restaurants, newsagent, delicatessen, butcher, bottle shop and  wood fired pizza. Nutgrove beach is a quiet neighborhood in the perfect location.",https://www.airbnb.com/users/show/4062110,2012-11-05,No hay tiempo de respuesta,No hay porcentaje de respuesta,0%,f,"['email', 'phone']",t,Neighborhood highlights,Hobart,Private room in home,Private room,"[""Indoor fireplace"", ""Heating"", ""Shampoo"", ""Wifi"", ""TV"", ""Air conditioning"", ""Kitchen"", ""Breakfast"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Essentials"", ""Iron""]",t,2024-09-05,2013-03-19,2016-04-30,Exempt: This listing falls under the 'home sharing' exemption,f,773175,4062110.0,1.0,1.0,2.0,1.0,2.0,1.0,132.0,2.0,14.0,29,59.0,89.0,89.0,68.0,0.0,0.0,4.93,4.75,4.97,4.93,4.79,1.0,0.0,0.0,0.0,0.49,2
26,https://www.airbnb.com/rooms/862364,2024-09-05,"4 Star Victorian property with modern conservatory dining area. Newton Heritage as a King 4 Poster Bed, sofa large tv and private en suite. Free wifi, Free Parking, Free Cooked English Breakfast",https://www.airbnb.com/users/show/4520285,2012-12-29,within an hour,100%,100%,t,"['email', 'phone']",t,Neighborhood highlights,Launceston,Room in boutique hotel,Private room,"[""Fire extinguisher"", ""Heating"", ""Free parking on premises"", ""Shampoo"", ""Wifi"", ""Luggage dropoff allowed"", ""TV"", ""Host greets you"", ""Long term stays allowed"", ""Breakfast"", ""Hangers"", ""Smoke alarm"", ""Hair dryer"", ""Essentials"", ""First aid kit"", ""Iron"", ""Hot water""]",t,2024-09-05,2014-05-31,2022-12-01,"Exempt: This listing is a hotel, motel, or caravan park",t,862364,4520285.0,12.0,12.0,2.0,1.0,1.0,1.0,275.0,1.0,14.0,22,48.0,62.0,200.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,2.36,0.0,0.0,0.0,0.03,2
39,https://www.airbnb.com/rooms/1030686,2024-09-05,"A real farm experience just minutes from the town centre and beaches of Bridport, a quiet coastal town in North East Tasmania.<br />It's a perfect place to stay if you would like somewhere quiet,  peaceful and relaxing.<br />Lavender ensuite room, at Platypus Park Country Retreat, in Bridport is a  private accommodation a couple of minutes drive from the town centre or five minutes drive to Barnbougle Dunes and Lost Farm golf courses. <br />Blue Derby mountain bike trails are 45 minutes drive.<br />WiFi is included",https://www.airbnb.com/users/show/3475894,2012-09-05,within an hour,100%,100%,f,"['email', 'phone', 'work_email']",t,Neighborhood highlights,Dorset,Private room in guest suite,Private room,"[""Dishes and silverware"", ""TV"", ""Hangers"", ""Hair dryer"", ""First aid kit"", ""Microwave"", ""Heating"", ""Free parking on premises"", ""Shampoo"", ""Wifi"", ""Private entrance"", ""Private living room"", ""Extra pillows and blankets"", ""Coffee maker"", ""Dryer"", ""Lake access"", ""Host greets you"", ""Long term stays allowed"", ""Washer"", ""Backyard"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Iron"", ""Patio or balcony"", ""BBQ grill"", ""Bed linens"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Fire extinguisher"", ""Hot water""]",t,2024-09-05,2015-01-10,2024-08-23,TICT398321,t,1030686,3475894.0,5.0,11.0,2.0,1.0,1.0,2.0,134.0,1.0,30.0,24,51.0,81.0,344.0,80.0,11.0,1.0,4.93,4.71,4.97,4.96,4.92,5.0,4.0,0.0,0.0,0.68,2
59,https://www.airbnb.com/rooms/1704466,2024-09-05,"Attached to practicing artist's studio, separate from the main house, with stunning views over the Derwent's estuary. Comfortable, peaceful garden,  15 mins to city, 5 mins to beach or walking tracks. Watch the boats pass, recline after the conference, sit round the garden's fire circle to meditate.  Or just relax. 30 mins from MONA, 15 mins to Bruny Is ferry. Close to shopping centre and all amenities.",https://www.airbnb.com/users/show/8906826,2013-09-18,within an hour,100%,No hay porcentaje de aceptacion,f,"['email', 'phone']",t,Neighborhood highlights,Kingborough,Private room in home,Private room,"[""Dishes and silverware"", ""Backyard"", ""Heating"", ""Dryer"", ""Free parking on premises"", ""Wifi"", ""TV"", ""Patio or balcony"", ""Washer"", ""Hair dryer"", ""Essentials"", ""Hot water""]",t,2024-09-05,2013-11-24,2023-02-13,No cuenta con licencia,t,1704466,8906826.0,1.0,1.0,2.0,1.5,1.0,1.0,140.0,2.0,1125.0,30,60.0,90.0,180.0,70.0,0.0,0.0,4.83,4.84,4.96,4.97,4.84,1.0,0.0,0.0,0.0,0.53,2
